1366x768,11407,3.888489524,299.0676777
1280x800,7298,3.632228008,272.0274048
1920x1080,3723,4.516250336,324.3690572
1680x1050,1219,4.453650533,272.7990156
1600x900,1717,3.81304601,281.4100175
1440x900,2915,3.599656947,257.9406518
768x1024,1418,3.355430183,284.5719323
2560x1440,460,6.556521739,474.2913043
1607x904,101,3.673267327,222.1980198
1536x864,273,4.091575092,291.7069597
1438x808,131,4.34351145,263.0076336
1368x768,125,3.264,234.008
1301x731,216,3.625,277.1157407
1280x720,630,3.90952381,296.8507937
1280x1024,896,4.467633929,359.5055804
1138x640,122,2.56557377,132.0081967
1093x614,128,3.5859375,194.2890625
1024x768,837,3.949820789,336.6212664
360x640,127,3.007874016,154.8267717
320x480,369,2.333333333,128.99729
320x568,684,2.536549708,112.2426901
3415x1920,6,2.833333333,367.6666667
2560x1600,11,3.090909091,406.1818182
2347x1320,20,4.05,345.85
2021x1137,27,3.333333333,176.7037037
1958x1101,13,2.846153846,281.7692308
1951x1097,12,4.333333333,382.0833333
1920x1200,85,4.164705882,208.1647059
1876x1173,28,3.607142857,297.75
1829x1029,11,3.272727273,338
1821x1024,59,3.610169492,245.9491525
1787x1005,24,3.458333333,324.8333333
1760x990,6,4.166666667,281
1708x960,23,3.130434783,123.6956522
1707x960,38,2.894736842,127.2368421
1696x954,21,3.476190476,171.047619
1684x947,12,3.75,314.5833333
1655x931,7,5.428571429,989.2857143
1525x858,76,3.092105263,195.4210526
1518x853,75,4.306666667,266.8666667
1477x831,8,3.125,34
1455x818,10,3.4,210.4
1440x810,51,4.31372549,254.7647059
1440x960,24,3.916666667,341.3333333
1429x893,20,3.15,196.75
1400x1050,69,3.52173913,406.6376812
1391x783,15,3.533333333,237.7333333
1371x771,10,5.5,567.7
1371x857,11,3.090909091,276
1364x768,10,4.8,306.8
1360x768,49,3.857142857,282.8367347
1344x840,31,3.258064516,230.2258065
1333x750,25,2.48,149.48
1324x745,8,1.25,1.5
1280x750,14,3.928571429,171.3571429
1280x768,88,3.443181818,359.2386364
1252x704,30,2.433333333,153.4
1242x698,73,2.821917808,130.5068493
1239x697,8,2.75,83.375
1237x695,10,4.8,873.8
1200x750,60,2.516666667,269.55
1188x668,65,4.030769231,364.5076923
1185x667,20,3.05,78.1
1152x720,46,4.934782609,429.4130435
1152x864,33,5.393939394,275.3333333
1124x632,15,6.333333333,644.4
1123x632,36,4,207.0833333
1120x630,12,6,717.5
1120x700,10,4,288.3
1103x621,6,3.333333333,126.5
1097x617,33,3,379.6363636
1094x614,9,3.444444444,798.2222222
1080x1920,18,1.944444444,58.27777778
1078x632,6,4,632.3333333
1067x600,63,3.555555556,161.6666667
1067x667,12,3.333333333,303.5833333
1066x600,17,5.941176471,212.3529412
1051x591,37,5.081081081,244.7567568
1047x589,24,3.291666667,333.75
1024x600,77,3.311688312,339.5974026
1024x720,13,6.769230769,354.5384615
1024x819,52,5.211538462,429.7692308
